timeindex;input;cmp_Q;output;exp_Q;cas_Pi_o;cmp_m;exp_m
2030-01-01 00:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 01:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 02:00:00;49.99999999999999;;0.0;0.0;32.096371477103254;93.23728552113661;0.0
2030-01-01 03:00:00;50.0;;0.0;0.0;32.192717679163;93.21283247218338;0.0
2030-01-01 04:00:00;49.99999999999999;;0.0;0.0;32.28903861280806;93.18838583645417;0.0
2030-01-01 05:00:00;49.99999999999999;;0.0;0.0;32.3853342846655;93.16394561226707;0.0
2030-01-01 06:00:00;49.99999999999999;;0.0;0.0;32.48160470136063;93.13951179794053;0.0
2030-01-01 07:00:00;50.0;;0.0;0.0;32.57784986951706;93.11508439179345;0.0
2030-01-01 08:00:00;50.0;;0.0;0.0;32.674069795756644;93.09066339214516;0.0
2030-01-01 09:00:00;50.0;;0.0;0.0;32.770264486699496;93.06624879731547;0.0
2030-01-01 10:00:00;50.0;;0.0;0.0;32.866433948963994;93.0418406056246;0.0
2030-01-01 11:00:00;49.99999999999999;;0.0;0.0;32.96257818916679;93.01743881539322;0.0
2030-01-01 12:00:00;50.0;;0.0;0.0;33.05869721392279;92.99304342494244;0.0
2030-01-01 13:00:00;49.99999999999999;;0.0;0.0;33.15479102984517;92.96865443259381;0.0
2030-01-01 14:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 15:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 16:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 17:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 18:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 19:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 20:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 21:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 22:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-01 23:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 00:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 01:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 02:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 03:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 04:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 05:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 06:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 07:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 08:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 09:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 10:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 11:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 12:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 13:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 14:00:00;0.0;;0.0;0.0;33.15479102984517;0.0;0.0
2030-01-02 15:00:00;0.0;;50.0;58.760194440463955;33.10158862019779;0.0;51.47216176204435
2030-01-02 16:00:00;0.0;;50.0;58.76050918827666;33.04838133424604;0.0;51.47687947931679
2030-01-02 17:00:00;0.0;;50.0;58.76082396493779;32.99516917154298;0.0;51.48159762899493
2030-01-02 18:00:00;0.0;;50.0;58.76113877045001;32.94195213164165;0.0;51.48631621111841
2030-01-02 19:00:00;0.0;;50.0;58.76145360481594;32.888730214095006;0.0;51.491035225726854
2030-01-02 20:00:00;0.0;;50.0;58.76176846803824;32.835503418455986;0.0;51.49575467285991
2030-01-02 21:00:00;0.0;;50.0;58.762083360119554;32.78227174427749;0.0;51.50047455255722
2030-01-02 22:00:00;0.0;;50.0;58.762398281062524;32.72903519111237;0.0;51.50519486485843
2030-01-02 23:00:00;0.0;;50.0;58.762713230869785;32.675793758513436;0.0;51.5099156098032
2030-01-03 00:00:00;0.0;;50.0;58.763028209544004;32.62254744603347;0.0;51.51463678743117
2030-01-03 01:00:00;0.0;;50.0;58.76334321708781;32.5692962532252;0.0;51.519358397782
2030-01-03 02:00:00;0.0;;50.0;58.763658253503856;32.51604017964131;0.0;51.52408044089536
2030-01-03 03:00:00;0.0;;50.0;58.76397331879478;32.46277922483445;0.0;51.52880291681091
2030-01-03 04:00:00;0.0;;50.0;58.764288412963246;32.40951338835723;0.0;51.53352582556832
2030-01-03 05:00:00;0.0;;50.0;58.76460353601189;32.356242669762224;0.0;51.53824916720726
2030-01-03 06:00:00;0.0;;50.0;58.76491868794335;32.302967068601944;0.0;51.54297294176741
2030-01-03 07:00:00;0.0;;50.0;58.76523386876029;32.249686584428886;0.0;51.547697149288446
2030-01-03 08:00:00;0.0;;50.0;58.76554907846535;32.196401216795486;0.0;51.55242178981005
2030-01-03 09:00:00;0.0;;50.0;58.76586431706117;32.14311096525415;0.0;51.55714686337191
2030-01-03 10:00:00;0.0;;49.99999999999999;58.76617958455041;32.08981582935725;0.0;51.561872370013724
2030-01-03 11:00:00;0.0;;50.0;58.76649488093572;32.03651580865709;0.0;51.56659830977518
2030-01-03 12:00:00;0.0;;50.0;58.76681020621973;31.983210902705963;0.0;51.57132468269598
2030-01-03 13:00:00;0.0;;50.0;58.76712556040511;31.9299011110561;0.0;51.57605148881582
2030-01-03 14:00:00;0.0;;50.0;58.7674409434945;31.876586433259703;0.0;51.5807787281744
2030-01-03 15:00:00;0.0;;50.0;58.76775635549055;31.823266868868927;0.0;51.58550640081144
2030-01-03 16:00:00;0.0;;50.0;58.7680717963959;31.76994241743589;0.0;51.59023450676665
2030-01-03 17:00:00;0.0;;50.0;58.76838726621322;31.716613078512662;0.0;51.59496304607974
2030-01-03 18:00:00;0.0;;50.0;58.76870276494515;31.66327885165128;0.0;51.59969201879044
2030-01-03 19:00:00;0.0;;50.0;58.769018292594325;31.60993973640374;0.0;51.604421424938465
2030-01-03 20:00:00;0.0;;50.0;58.76933384916342;31.556595732321984;0.0;51.60915126456354
2030-01-03 21:00:00;0.0;;50.0;58.76964943465507;31.50324683895793;0.0;51.61388153770541
2030-01-03 22:00:00;0.0;;50.0;58.76996504907193;31.44989305586345;0.0;51.61861224440379
